"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","When I search for ""Selenium tutorial""","","Sun Jan 19 06:29:53 IST 2025","skipped","Sun Jan 19 06:29:53 IST 2025","","YouTube Video Automation: Open YouTube and Search for a Video","",""
"","3","Given I navigate to Booking.com","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Booking.com Hotel Search Automation: Search for Hotels on Booking.com","",""
"","6430","Given I navigate to Target.com","","Sun Jan 19 06:29:53 IST 2025","passed","Sun Jan 19 06:29:59 IST 2025","","Target Shopping Automation: Navigate to Target and Search for a product","",""
"","4","Then I validate the header components","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Testim Application Automation: Navigate to Testim Application and Validate Header Components","",""
"","2","Then I validate subsections of Company section","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Testim Application Automation: Navigate to the ""Company"" Section","",""
"","1","hook:","","Sun Jan 19 06:29:53 IST 2025","failed","Sun Jan 19 06:29:53 IST 2025","","","",""
"","2","When I interact with video controls","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","YouTube Video Automation: Play and Interact with a Video","",""
"","1","hook:","","Sun Jan 19 06:29:53 IST 2025","failed","Sun Jan 19 06:29:53 IST 2025","","","",""
"","1","Then I validate the footer components","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Testim Application Automation: Validate Customer Review and Footer Components","",""
"","7","Given I navigate to the Testim application","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Testim Application Automation: Navigate to Testim Application and Validate Header Components","",""
"","3","When I search for a product","","Sun Jan 19 06:29:59 IST 2025","broken","Sun Jan 19 06:29:59 IST 2025","","Target Shopping Automation: Navigate to Target and Search for a product","",""
"","4","Given I open YouTube homepage","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","YouTube Video Automation: Open YouTube and Search for a Video","",""
"","2","hook:","","Sun Jan 19 06:29:53 IST 2025","failed","Sun Jan 19 06:29:53 IST 2025","","","",""
"","1","hook:","","Sun Jan 19 06:29:53 IST 2025","failed","Sun Jan 19 06:29:53 IST 2025","","","",""
"","1","hook:","","Sun Jan 19 06:29:59 IST 2025","failed","Sun Jan 19 06:29:59 IST 2025","","","",""
"","2","Then I validate the search results","","Sun Jan 19 06:29:59 IST 2025","skipped","Sun Jan 19 06:29:59 IST 2025","","Target Shopping Automation: Navigate to Target and Search for a product","",""
"","2","hook:","","Sun Jan 19 06:29:53 IST 2025","failed","Sun Jan 19 06:29:53 IST 2025","","","",""
"","1","Given I retrieve and store a customer review","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Testim Application Automation: Validate Customer Review and Footer Components","",""
"","2","When I cross-validate the stored review","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Testim Application Automation: Validate Customer Review and Footer Components","",""
"","1","hook:","","Sun Jan 19 06:30:00 IST 2025","failed","Sun Jan 19 06:30:00 IST 2025","","","",""
"","3","Then I verify the search results","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","YouTube Video Automation: Open YouTube and Search for a Video","",""
"","1","Then I verify the accommodation details","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Booking.com Hotel Search Automation: Select and Validate Accommodation","",""
"","1","hook:","","Sun Jan 19 06:29:53 IST 2025","failed","Sun Jan 19 06:29:53 IST 2025","","","",""
"","2","Given I navigate to the Company section","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Testim Application Automation: Navigate to the ""Company"" Section","",""
"","1","When I search for the destination","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Booking.com Hotel Search Automation: Search for Hotels on Booking.com","",""
"","2","Given I click on a video from the search results","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","YouTube Video Automation: Play and Interact with a Video","",""
"","1","Then I validate the search results and filter options","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Booking.com Hotel Search Automation: Search for Hotels on Booking.com","",""
"","2","Then I verify the video playback and quality options","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","YouTube Video Automation: Play and Interact with a Video","",""
"","2","hook:","","Sun Jan 19 06:29:53 IST 2025","failed","Sun Jan 19 06:29:53 IST 2025","","","",""
"","1","Given I select an accommodation from the list","","Sun Jan 19 06:29:53 IST 2025","broken","Sun Jan 19 06:29:53 IST 2025","","Booking.com Hotel Search Automation: Select and Validate Accommodation","",""
